Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS
Date,,,,,,
2025-04-22,5637.24853515625,5682.5,5704.0,5591.5,5649.0,325345
2025-04-23,5667.505859375,5713.0,5792.0,5609.0,5715.0,376059
2025-04-24,5643.201171875,5688.5,5733.0,5621.5,5720.0,374809
2025-04-25,5455.20947265625,5499.0,5708.5,5385.0,5698.0,638225
2025-04-28,5491.91552734375,5536.0,5558.5,5459.0,5499.0,205197
2025-04-29,5539.037109375,5583.5,5625.0,5560.0,5582.0,224766
2025-04-30,5478.52294921875,5522.5,5604.0,5469.0,5590.0,316444
2025-05-02,5430.6142578125,5441.0,5531.0,5420.0,5505.0,203903
2025-05-05,5477.025390625,5487.5,5504.5,5415.5,5499.0,241475
2025-05-06,5323.818359375,5334.0,5500.0,5310.0,5500.0,400370
2025-05-07,5387.197265625,5397.5,5445.0,5270.0,5270.5,270305
2025-05-08,5277.4072265625,5287.5,5439.5,5210.0,5402.0,345691
2025-05-09,5430.115234375,5440.5,5468.0,5190.0,5190.0,321841
2025-05-12,5576.33544921875,5587.0,5715.0,5472.5,5515.0,669665
2025-05-13,5625.7412109375,5636.5,5699.0,5528.0,5590.0,638165
2025-05-14,5624.244140625,5635.0,5745.0,5591.5,5620.0,400038
2025-05-15,5724.05322265625,5735.0,5747.5,5608.0,5640.0,356216
2025-05-16,5808.89111328125,5820.0,5866.0,5701.0,5745.0,418266
2025-05-19,5826.8564453125,5838.0,5913.0,5824.0,5869.5,181786
2025-05-20,5727.54638671875,5738.5,5898.0,5710.0,5897.5,444180
2025-05-21,5875.26416015625,5886.5,5899.5,5722.0,5750.0,266662
2025-05-22,5912.6923828125,5924.0,5959.0,5826.5,5893.5,286074
2025-05-23,5949.62158203125,5961.0,5989.5,5875.0,5950.0,208138
2025-05-26,5985.05419921875,5996.5,6048.0,5965.0,5965.0,219984
2025-05-27,6003.01953125,6014.5,6050.0,5958.0,6000.0,244514
2025-05-28,6003.5185546875,6015.0,6062.0,5981.0,6014.5,160963
2025-05-29,6031.96435546875,6043.5,6070.0,5986.5,6015.0,160875
2025-05-30,5959.6025390625,5971.0,6118.0,5945.5,6080.0,296253
2025-06-02,5963.09619140625,5974.5,5990.5,5891.0,5960.0,159034
2025-06-03,5983.556640625,5995.0,6080.0,5966.0,5974.5,197089
2025-06-04,6029.96826171875,6041.5,6050.0,5970.0,6009.0,171316
2025-06-05,6019.9873046875,6031.5,6080.0,6010.0,6041.0,135626
2025-06-06,6039.94921875,6051.5,6175.5,6026.5,6069.5,336263
2025-06-09,6203.13671875,6215.0,6240.5,6071.0,6093.5,270782
2025-06-10,6156.2265625,6168.0,6260.0,6160.0,6260.0,207893
2025-06-11,6065.400390625,6077.0,6195.0,6034.0,6190.0,294907
2025-06-12,6009.50732421875,6021.0,6099.0,5975.0,6079.0,369396
2025-06-13,5987.54931640625,5999.0,6017.5,5885.0,5890.0,220342
2025-06-16,6002.5205078125,6014.0,6045.0,5941.0,6001.0,133245
2025-06-17,6022.9814453125,6034.5,6084.0,6014.0,6040.0,101944
2025-06-18,6032.46337890625,6044.0,6089.5,6000.0,6001.0,165662
2025-06-19,5857.79736328125,5869.0,6068.5,5850.0,6044.0,130952
2025-06-20,5957.107421875,5968.5,5991.0,5853.5,5897.0,241725
2025-06-23,5912.193359375,5923.5,5959.0,5880.0,5900.0,88496
2025-06-24,5992.04052734375,6003.5,6067.0,5940.5,5975.0,228616
2025-06-25,5955.111328125,5966.5,6065.0,5941.0,6051.0,138938
2025-06-26,6001.0234375,6012.5,6025.0,5953.0,5985.0,110098
2025-06-27,6057.91455078125,6069.5,6175.0,6030.0,6060.0,241168
2025-06-30,6068.8935546875,6080.5,6133.5,6060.0,6090.0,157658
2025-07-01,5938.1435546875,5949.5,6144.5,5921.5,6114.5,365605
2025-07-02,5894.7265625,5906.0,5989.5,5842.0,5979.0,284183
2025-07-03,5860.29248046875,5871.5,5938.5,5862.5,5930.0,193225
2025-07-04,5850.810546875,5862.0,5901.5,5841.0,5892.0,153889
2025-07-07,5832.84521484375,5844.0,5862.0,5802.0,5862.0,89857
2025-07-08,5828.8525390625,5840.0,5885.0,5822.0,5848.0,242940
2025-07-09,5886.7421875,5898.0,5940.0,5821.0,5840.5,204872
2025-07-10,5882.25048828125,5893.5,5929.0,5826.5,5898.0,189571
2025-07-11,5745.51220703125,5756.5,5897.0,5718.0,5880.0,280804
2025-07-14,5636.72021484375,5647.5,5782.5,5577.0,5756.5,456678
2025-07-15,5597.29541015625,5608.0,5725.0,5590.5,5679.5,454138
2025-07-16,5540.404296875,5551.0,5618.0,5502.5,5608.0,590118
2025-07-17,5626.7392578125,5637.5,5664.0,5468.0,5568.0,1071876
2025-07-18,5635.72216796875,5646.5,5727.5,5630.5,5684.0,425486
2025-07-21,5824.8603515625,5836.0,5845.5,5635.5,5666.0,428913
2025-07-22,5744.01513671875,5755.0,5872.0,5731.0,5850.5,346363
2025-07-23,5700.09912109375,5711.0,5788.0,5675.0,5771.5,186980
2025-07-24,5688.1220703125,5699.0,5734.5,5655.0,5711.0,116292
2025-07-25,5632.228515625,5643.0,5710.0,5610.5,5699.0,340538
2025-07-28,5534.9150390625,5545.5,5644.0,5525.0,5640.0,265335
2025-07-29,5568.35107421875,5579.0,5592.0,5478.0,5545.0,209954
2025-07-30,5543.3984375,5554.0,5610.0,5470.0,5610.0,331867
2025-07-31,5499.482421875,5510.0,5574.5,5489.5,5510.0,255793
2025-08-01,5377.21630859375,5387.5,5539.0,5360.5,5539.0,382061
2025-08-04,5082.77978515625,5092.5,5364.0,5014.5,5310.0,1957165
2025-08-05,5074.2958984375,5084.0,5099.0,5019.5,5070.0,614211
2025-08-06,5087.27099609375,5097.0,5124.0,5024.5,5124.0,385429
2025-08-07,5108.72998046875,5118.5,5140.0,5017.0,5092.5,355953
2025-08-08,5022.0,5022.0,5143.5,5005.5,5143.5,348746
2025-08-11,5047.0,5047.0,5122.5,5002.5,5057.0,429040
2025-08-12,5071.5,5071.5,5089.5,5017.0,5079.5,273262
2025-08-13,5087.0,5087.0,5102.0,5038.5,5097.5,231709
2025-08-14,5030.0,5030.0,5105.5,5023.5,5100.0,237754
2025-08-18,5037.5,5037.5,5090.0,5003.5,5090.0,307068
2025-08-19,5068.0,5068.0,5082.0,5007.5,5038.0,204663
2025-08-20,5121.5,5121.5,5140.5,5070.0,5084.0,312054
2025-08-21,5141.5,5141.5,5195.0,5112.0,5150.0,377717
2025-08-22,5063.0,5063.0,5170.0,5051.0,5170.0,219900
2025-08-25,5100.5,5100.5,5113.5,5045.0,5100.0,246352
2025-08-26,5022.0,5022.0,5109.5,5011.0,5100.5,482397
2025-08-27,5022.0,5022.0,5022.0,5022.0,5022.0,0
2025-08-28,5000.5,5000.5,5039.5,4953.0,5022.0,335387
2025-08-29,4999.0,4999.0,5060.5,4939.5,5003.0,251338
2025-09-01,5127.39990234375,5127.39990234375,5140.5,5017.60009765625,5042.0,242505
2025-09-02,5148.2001953125,5148.2001953125,5174.5,5097.0,5127.39990234375,306762
2025-09-03,5188.39990234375,5188.39990234375,5209.89990234375,5148.2001953125,5150.0,213167
2025-09-04,5162.7998046875,5162.7998046875,5221.7998046875,5145.0,5220.0,350954
2025-09-05,5117.39990234375,5117.39990234375,5185.2001953125,5070.0,5162.7998046875,259197
2025-09-08,5108.2998046875,5108.2998046875,5187.2998046875,5097.60009765625,5140.0,101582
2025-09-09,5131.89990234375,5131.89990234375,5150.0,5091.0,5111.0,150868
2025-09-10,5161.89990234375,5161.89990234375,5195.0,5121.0,5129.7998046875,184147
2025-09-11,5218.10009765625,5218.10009765625,5237.0,5157.10009765625,5181.7001953125,178386
2025-09-12,5248.60009765625,5248.60009765625,5265.0,5201.0,5224.0,196396
2025-09-15,5338.7998046875,5338.7998046875,5383.2998046875,5241.2001953125,5248.60009765625,435154
2025-09-16,5349.0,5349.0,5376.89990234375,5316.60009765625,5370.0,154462
2025-09-17,5385.7998046875,5385.7998046875,5415.7998046875,5331.7001953125,5375.60009765625,196332
2025-09-18,5436.0,5436.0,5471.2998046875,5396.0,5410.10009765625,293576
2025-09-19,5436.89990234375,5436.89990234375,5464.7001953125,5418.0,5458.7998046875,272034
2025-09-22,5362.7998046875,5362.7998046875,5455.2998046875,5341.0,5430.0,155891
2025-09-23,5298.7001953125,5298.7001953125,5375.39990234375,5285.0,5360.2001953125,167342
2025-09-24,5237.2998046875,5237.2998046875,5349.7998046875,5223.60009765625,5298.0,137979
2025-09-25,5200.7001953125,5200.7001953125,5265.0,5184.0,5237.0,308529
2025-09-26,5173.39990234375,5173.39990234375,5210.0,5121.0,5200.89990234375,348241
2025-09-29,5207.7998046875,5207.7998046875,5246.0,5167.10009765625,5173.39990234375,228230
2025-09-30,5183.2998046875,5183.2998046875,5232.60009765625,5175.10009765625,5201.0,215173
2025-10-01,5199.0,5199.0,5208.0,5143.0,5185.0,94280
2025-10-02,5199.0,5199.0,5199.0,5199.0,5199.0,0
2025-10-03,5183.5,5183.5,5208.5,5148.5,5190.0,291382
2025-10-06,5218.0,5218.0,5244.5,5176.0,5190.5,156474
2025-10-07,5219.5,5219.5,5343.0,5209.5,5233.0,382453
